Wall time,Step,Value
1525478048.4484997,150,0.8669576644897461
1525478109.7569532,250,0.8894559741020203
1525478202.6365185,400,0.9050859808921814
1525478485.1026897,850,0.9365072250366211
1525478547.435754,950,0.9362357258796692
1525478609.9931626,1050,0.9428430795669556
1525478704.1576343,1200,0.9371605515480042
1525478801.5693123,1350,0.9433587789535522
1525478865.1666243,1450,0.9536718130111694
1525479149.4977603,1900,0.9545169472694397
1525479243.6923056,2050,0.9613653421401978
1525479275.8180418,2100,0.95452880859375
1525479403.0087621,2300,0.9553272724151611
1525479562.2465339,2550,0.958585798740387
1525479626.2695308,2650,0.9594371318817139
1525479658.1007988,2700,0.9600960612297058
1525479721.127752,2800,0.9623562693595886
1525479752.5976183,2850,0.9613242745399475
1525479816.5557644,2950,0.9612183570861816
1525480169.3159032,3500,0.9699320793151855
1525480517.9595363,4050,0.9719823598861694
1525480549.7942045,4100,0.970033586025238
1525480581.9238315,4150,0.9657356142997742
1525480710.2530346,4350,0.9677578806877136
1525480806.3324578,4500,0.9628059267997742
1525480838.270127,4550,0.9642670154571533
1525481058.844779,4900,0.9652684926986694
1525481153.7252238,5050,0.9697608351707458
1525481282.485536,5250,0.968629777431488
1525481314.432153,5300,0.9688770771026611
1525481346.291402,5350,0.968037486076355
1525481570.2918391,5700,0.9688272476196289
1525481633.5635605,5800,0.9719711542129517
1525482301.3724098,6300,0.9787840843200684
1525482393.269524,6450,0.9761227965354919
1525482486.8230305,6600,0.9739522933959961
1525482518.453842,6650,0.9756805896759033
1525482739.2582386,7000,0.9758176207542419
1525482802.7413998,7100,0.9722551703453064
1525483343.0897932,7950,0.9749867916107178
1525483374.32118,8000,0.9730947017669678
1525483405.517054,8050,0.9781232476234436
1525483690.366127,8500,0.9675803780555725
1525483817.770592,8700,0.974446177482605
1525483849.3513966,8750,0.972065806388855
1525484132.2896323,9200,0.9775521159172058
1525484163.5216243,9250,0.9782770872116089
1525484258.9091587,9400,0.9777402281761169
1525484417.9092555,9650,0.9814010858535767
1525484449.8396692,9700,0.9806144833564758
1525484639.3906984,10000,0.9738345742225647
1525484670.8040788,10050,0.979400634765625
1525484858.8474054,10350,0.9770140647888184
1525484954.2866704,10500,0.9795064926147461
1525485113.75109,10750,0.97816002368927
1525485241.5448346,10950,0.9750428199768066
1525485273.3638048,11000,0.9789085984230042
1525485367.5232816,11150,0.9802240133285522
1525485398.9793646,11200,0.9807652235031128
1525485493.2202535,11350,0.9794224500656128
1525485556.429524,11450,0.9774026870727539
1525485748.7740333,11750,0.9801729321479797
1525485780.657534,11800,0.9770420789718628
1525485812.593755,11850,0.9809128046035767
1525485844.5456474,11900,0.9789403676986694
1525485971.9607577,12100,0.9802800416946411
1525486067.945528,12250,0.9795700311660767
1525486472.4349267,12350,0.9797849059104919
1525486875.8936129,13000,0.9793221354484558
1525486938.9502134,13100,0.9832857251167297
1525487002.0118544,13200,0.9829680919647217
1525487352.6964266,13750,0.9834451675415039
1525487416.1985385,13850,0.98235023021698
1525487447.8354487,13900,0.9808492660522461
1525487511.2744303,14000,0.98045814037323
1525487542.9738672,14050,0.9826622605323792
1525487669.724573,14250,0.9795221090316772
1525487763.4376438,14400,0.9803080558776855
1525487889.4361863,14600,0.9813326001167297
1525488047.7774842,14850,0.9803934097290039
1525488111.3475235,14950,0.9817779064178467
1525488143.0575993,15000,0.9836967587471008
1525488206.8855207,15100,0.9832066297531128
1525488458.6621056,15500,0.9834993481636047
1525488521.0520105,15600,0.9824748039245605
1525488552.7273226,15650,0.9854275584220886
1525488583.9744384,15700,0.9821416139602661
1525488647.1238234,15800,0.9821609258651733
1525489030.2373357,16400,0.9850906133651733
1525489092.9873881,16500,0.9807527661323547
1525489124.4089146,16550,0.9832010269165039
1525489220.3664222,16700,0.9785667061805725
1525489252.2829936,16750,0.9815617799758911
1525489380.2238734,16950,0.9822288155555725
1525489412.197652,17000,0.9836313724517822
1525489444.0154488,17050,0.9835130572319031
1525489539.6412776,17200,0.9838020205497742
1525489570.9547377,17250,0.98072350025177
1525489633.9775827,17350,0.9829805493354797
1525489665.641773,17400,0.982912003993988
1525489729.3603349,17500,0.9819180369377136
1525489921.213089,17800,0.9850606918334961
1525489953.0801632,17850,0.9841788411140442
1525490016.9505744,17950,0.9798372387886047
1525490048.7223616,18000,0.9815480709075928
1525490112.9963527,18100,0.9833648204803467
1525490175.6756682,18200,0.9822649359703064
1525490238.1016874,18300,0.9852269887924194
1525490269.711683,18350,0.9837740063667297
1525490301.3422153,18400,0.982330322265625
1525490795.7163076,18450,0.9809576272964478
1525490855.3763707,18550,0.9852861762046814
1525490976.848693,18750,0.9845225811004639
1525491100.999516,18950,0.9849355220794678
1525491132.5399783,19000,0.9810498356819153
1525491195.4211679,19100,0.9842672348022461
1525491227.035782,19150,0.9838605523109436
1525491258.8869562,19200,0.9837708473205566
1525491290.6345565,19250,0.9855844974517822
1525491322.396836,19300,0.9819397926330566
1525491667.692741,19850,0.9844030141830444
1525491762.9402065,20000,0.9824835062026978
1525491794.7044883,20050,0.9813089370727539
1525491826.6300302,20100,0.9807564616203308
1525492049.7298849,20450,0.9839340448379517
1525492113.416626,20550,0.9790773987770081
1525492238.4845614,20750,0.9821746349334717
1525492333.006894,20900,0.9840449094772339
1525492524.288399,21200,0.9860497117042542
1525492556.0362473,21250,0.984954833984375
1525492587.9043012,21300,0.9848670363426208
1525492683.3283916,21450,0.985563337802887
1525492746.9936485,21550,0.9829095602035522
1525492810.7887242,21650,0.9856536388397217
1525492842.593509,21700,0.9863729476928711
1525492969.4702528,21900,0.9848452210426331
1525493033.1427476,22000,0.9861612319946289
1525493128.4210882,22150,0.9858716130256653
1525493160.1677506,22200,0.9848116040229797
1525493223.9378994,22300,0.9859095811843872
1525493255.7613733,22350,0.9852064251899719
1525493414.7625136,22600,0.9858242869377136
1525493510.4221187,22750,0.9851784110069275
1525493542.2965758,22800,0.9853521585464478
1525493670.1578326,23000,0.9856212139129639
1525493829.5987966,23250,0.9865180850028992
1525493861.4721262,23300,0.9854655265808105
1525494021.6210785,23550,0.9858174324035645
1525494053.6614504,23600,0.9829188585281372
1525494085.473182,23650,0.9860802292823792
1525494212.8954556,23850,0.9858124256134033
1525494244.87214,23900,0.9848676323890686
1525494340.8865206,24050,0.9866669178009033
1525494404.7517867,24150,0.9854530692100525
1525494532.3674405,24350,0.9857345819473267
1525494564.0840425,24400,0.9853634238243103
1525495052.6199508,24650,0.9871689081192017
1525495144.222073,24800,0.9873177409172058
1525495237.0167165,24950,0.9862701892852783
1525495268.1766584,25000,0.9870125651359558
1525495394.1515975,25200,0.9856424331665039
1525495457.6185331,25300,0.9858790636062622
1525495552.4205313,25450,0.9858896732330322
1525495647.428255,25600,0.986845076084137
1525495678.9904928,25650,0.9883341789245605
1525495710.6064904,25700,0.9877200722694397
1525495805.5871572,25850,0.9734079837799072
1525495837.399125,25900,0.9818731546401978
1525495964.189336,26100,0.9856729507446289
1525495995.8649168,26150,0.9850395321846008
1525496029.4892995,26200,0.9843849539756775
1525496061.162007,26250,0.9855054020881653
1525496220.111957,26500,0.9872480034828186
1525496251.635773,26550,0.9869260191917419
1525496346.6607928,26700,0.9882519841194153
1525496410.093767,26800,0.9862589836120605
1525496505.1864927,26950,0.9860951900482178
1525496568.6757398,27050,0.9861811399459839
1525496632.2272105,27150,0.9869876503944397
1525496790.7037578,27400,0.987058699131012
1525496822.317251,27450,0.9875083565711975
1525496854.0006864,27500,0.9860191941261292
1525496885.6924002,27550,0.9853129386901855
1525496917.3512516,27600,0.9898781180381775
1525496949.4098635,27650,0.9843450784683228
1525497266.0893526,28150,0.9870873093605042
1525497361.5388148,28300,0.9871838688850403
1525497520.3174546,28550,0.9833162426948547
1525497583.8529515,28650,0.9857869148254395
1525497679.2147338,28800,0.9882413744926453
1525497711.0787609,28850,0.9878969788551331
1525497774.5395539,28950,0.9878534078598022
1525497806.3772523,29000,0.9866245985031128
1525497996.5821614,29300,0.9839390516281128
1525498060.1577854,29400,0.9873781800270081
1525498188.644927,29600,0.985514760017395
1525498508.5215447,30100,0.9863848090171814
1525498604.0248113,30250,0.9844042658805847
1525498667.86212,30350,0.9853995442390442
1525498796.1295931,30550,0.9884307384490967
